"batter","batter_name"
459431,"Michael Saunders"
518626,"Josh Donaldson"
430832,"Jose Bautista"
429665,"Edwin Encarnacion"
453064,"Troy Tulowitzki"
499624,"Chris Colabello"
431145,"Russell Martin"
605141,"Mookie Betts"
593428,"Xander Bogaerts"
120074,"David Ortiz"
434670,"Hanley Ramirez"
607680,"Kevin Pillar"
572365,"Ryan Goins"
543768,"Travis Shaw"
455759,"Chris Young"
598265,"Jackie Bradley"
452672,"Ryan Hanigan"
593523,"Marco Hernandez"
475253,"Justin Smoak"
518934,"DJ LeMahieu"
596115,"Trevor Story"
471865,"Carlos Gonzalez"
451594,"Dexter Fowler"
518792,"Jason Heyward"
450314,"Ben Zobrist"
571448,"Nolan Arenado"
467827,"Gerardo Parra"
448602,"Mark Reynolds"
488681,"Brandon Barnes"
519203,"Anthony Rizzo"
592178,"Kris Bryant"
624585,"Jorge Soler"
547172,"Tony Wolters"
543022,"Tyler Chatwood"
595879,"Javier Baez"
424325,"David Ross"
452657,"Jon Lester"
430605,"Ryan Raburn"
471083,"Miguel Montero"
600303,"Tommy La Stella"
434158,"Curtis Granderson"
452678,"Asdrubal Cabrera"
624424,"Michael Conforto"
493316,"Yoenis Cespedes"
446263,"Lucas Duda"
435522,"Neil Walker"
527038,"Wilmer Flores"
434658,"Rajai Davis"
543401,"Jason Kipnis"
596019,"Francisco Lindor"
457477,"Alejandro De Aza"
608700,"Kevin Plawecki"
435063,"Mike Napoli"
467793,"Carlos Santana"
543228,"Yan Gomes"
407781,"Marlon Byrd"
346874,"Juan Uribe"
608070,"Jose Ramirez"
501571,"Juan Lagares"
435079,"Ian Kinsler"
457708,"Justin Upton"
408234,"Miguel Cabrera"
514888,"Jose Altuve"
543807,"George Springer"
458675,"Colby Rasmus"
643603,"Tyler White"
594828,"Evan Gattis"
472528,"Luis Valbuena"
400121,"Victor Martinez"
502110,"J.D. Martinez"
592206,"Nick Castellanos"
503556,"Marwin Gonzalez"
456124,"Erik Kratz"
545350,"Jake Marisnick"
457454,"Jarrod Saltalamacchia"
543238,"Anthony Gose"
578428,"Jose Iglesias"
452655,"Denard Span"
605412,"Joe Panik"
457763,"Buster Posey"
452254,"Hunter Pence"
474832,"Brandon Belt"
400284,"Chase Utley"
608369,"Corey Seager"
457759,"Justin Turner"
622110,"Matt Duffy"
543063,"Brandon Crawford"
502188,"Jeff Samardzija"
408236,"Adrian Gonzalez"
624577,"Yasiel Puig"
518735,"Yasmani Grandal"
435062,"Howie Kendrick"
434636,"Angel Pagan"
592626,"Joc Pederson"
628317,"Kenta Maeda"
571771,"Enrique Hernandez"
572204,"Trayce Thompson"
455976,"Nick Markakis"
430947,"Erick Aybar"
518692,"Freddie Freeman"
611177,"Adonis Garcia"
150229,"A.J. Pierzynski"
430637,"Kelly Johnson"
607054,"Jace Peterson"
605480,"Mallex Smith"
468504,"Jhoulys Chacin"
543829,"Dee Gordon"
445988,"Martin Prado"
592885,"Christian Yelich"
519317,"Giancarlo Stanton"
571506,"Justin Bour"
542303,"Marcell Ozuna"
588751,"Adeiny Hechavarria"
425772,"Jeff Mathis"
543054,"Jarred Cosart"
400085,"Ichiro Suzuki"
518618,"Derek Dietrich"
593495,"Daniel Castro"
453400,"Chris Johnson"
425796,"Jeff Francoeur"
453211,"Drew Stubbs"
488862,"Yunel Escobar"
542364,"Rafael Ortega"
545361,"Mike Trout"
405395,"Albert Pujols"
594777,"Kole Calhoun"
543068,"C.J. Cron"
456488,"Eduardo Nunez"
572821,"Brian Dozier"
408045,"Joe Mauer"
593934,"Miguel Sano"
592743,"Andrelton Simmons"
542208,"Carlos Perez"
543213,"Johnny Giavotella"
461858,"Trevor Plouffe"
542455,"Oswaldo Arcia"
592696,"Eddie Rosario"
571974,"John Murphy"
621439,"Byron Buxton"
460060,"Cliff Pennington"
500871,"Eduardo Escobar"
493114,"Norichika Aoki"
452234,"Seth Smith"
429664,"Robinson Cano"
443558,"Nelson Cruz"
572122,"Kyle Seager"
452252,"Adam Lind"
453056,"Jacoby Ellsbury"
458731,"Brett Gardner"
136860,"Carlos Beltran"
407893,"Mark Teixeira"
502182,"Steve Clevenger"
547982,"Leonys Martin"
606466,"Ketel Marte"
435263,"Brian McCann"
121347,"Alex Rodriguez"
516770,"Starlin Castro"
544369,"Didi Gregorius"
591720,"Ronald Torreyes"
429711,"Franklin Gutierrez"
444876,"Alcides Escobar"
519058,"Mike Moustakas"
456715,"Lorenzo Cain"
542993,"Billy Burns"
424825,"Coco Crisp"
502210,"Josh Reddick"
543333,"Eric Hosmer"
434778,"Kendrys Morales"
460086,"Alex Gordon"
521692,"Salvador Perez"
571681,"Reymond Fuentes"
502143,"Danny Valencia"
519390,"Stephen Vogt"
458085,"Chris Coghlan"
456714,"Billy Butler"
518568,"Christian Colon"
475174,"Yonder Alonso"
543760,"Marcus Semien"
476704,"Jed Lowrie"
502317,"Chris Heisey"
543685,"Anthony Rendon"
547180,"Bryce Harper"
520471,"Freddy Galvis"
514917,"Cesar Hernandez"
546318,"Odubel Herrera"
596748,"Maikel Franco"
502517,"Daniel Murphy"
150029,"Jayson Werth"
519208,"Clint Robinson"
573131,"Darin Ruf"
434563,"Carlos Ruiz"
488721,"Peter Bourjos"
595963,"Tyler Goeddel"
452220,"Stephen Drew"
446653,"Jose Lobaton"
461829,"Gio Gonzalez"
450203,"Charlie Morton"
572191,"Michael Taylor"
502034,"Emmanuel Burriss"
429667,"Ryan Howard"
544925,"Matt den Dekker"
501986,"Cedric Hunter"
433217,"Andres Blanco"
570267,"Domingo Santana"
571697,"Scooter Gennett"
518960,"Jonathan Lucroy"
444379,"John Jaso"
457705,"Andrew McCutchen"
501896,"David Freese"
459964,"Matt Joyce"
465041,"Francisco Cervelli"
474892,"Chris Carter"
570717,"Ramon Flores"
431094,"Aaron Hill"
570256,"Gregory Polanco"
543281,"Josh Harrison"
474568,"Jordy Mercer"
504379,"Juan Nicasio"
543590,"Kirk Nieuwenhuis"
605200,"Zach Davies"
542340,"Jonathan Villar"
595023,"Colin Walsh"
502676,"Cole Figueroa"
592680,"Yadiel Rivera"
446481,"Sean Rodriguez"
455755,"Chris Stewart"
455117,"Martin Maldonado"
605113,"Nick Ahmed"
430001,"Rickie Weeks"
594838,"Philip Gosselin"
630111,"Yasmany Tomas"
592273,"Brandon Drury"
571976,"Wil Myers"
605486,"Cory Spangenberg"
461314,"Matt Kemp"
425834,"Melvin Upton Jr."
493351,"Alexei Ramirez"
571875,"Jake Lamb"
572008,"Chris Owings"
543302,"Chris Herrmann"
518466,"Jabari Blash"
542194,"Christian Bethancourt"
489267,"Adam Rosales"
572362,"Robbie Erlin"
