"batter","batter_name"
572761,"Matt Carpenter"
518792,"Jason Heyward"
407812,"Matt Holliday"
425509,"Jhonny Peralta"
571431,"Matt Adams"
451594,"Dexter Fowler"
624585,"Jorge Soler"
519203,"Anthony Rizzo"
516770,"Starlin Castro"
425877,"Yadier Molina"
543939,"Kolten Wong"
445055,"Jon Jay"
425794,"Adam Wainwright"
458085,"Chris Coghlan"
592609,"Michael Olt"
424325,"David Ross"
452657,"Jon Lester"
600303,"Tommy La Stella"
471083,"Miguel Montero"
570489,"Arismendy Alcantara"
448602,"Mark Reynolds"
493114,"Norichika Aoki"
605412,"Joe Panik"
434636,"Angel Pagan"
457763,"Buster Posey"
474832,"Brandon Belt"
572041,"A.J. Pollock"
542255,"Ender Inciarte"
502671,"Paul Goldschmidt"
444432,"Mark Trumbo"
431171,"Casey McGehee"
543063,"Brandon Crawford"
453923,"Gregor Blanco"
431094,"Aaron Hill"
572008,"Chris Owings"
488912,"Tuffy Gosewisch"
605113,"Nick Ahmed"
518567,"Josh Collmenter"
518516,"Madison Bumgarner"
457574,"Jordan Pacheco"
622110,"Matt Duffy"
571875,"Jake Lamb"
460060,"Cliff Pennington"
444482,"David Peralta"
543281,"Josh Harrison"
570256,"Gregory Polanco"
457705,"Andrew McCutchen"
435522,"Neil Walker"
571740,"Billy Hamilton"
458015,"Joey Votto"
453943,"Todd Frazier"
516782,"Starling Marte"
476883,"Pedro Alvarez"
465041,"Francisco Cervelli"
519023,"Devin Mesoraco"
407781,"Marlon Byrd"
457803,"Jay Bruce"
408252,"Brandon Phillips"
446359,"Zack Cozart"
474568,"Jordy Mercer"
434538,"Francisco Liriano"
456501,"Johnny Cueto"
518911,"Andrew Lambo"
458689,"Christopher Dominguez"
446481,"Sean Rodriguez"
542454,"Danny Santana"
572821,"Brian Dozier"
408045,"Joe Mauer"
434658,"Rajai Davis"
435079,"Ian Kinsler"
408234,"Miguel Cabrera"
400121,"Victor Martinez"
116338,"Torii Hunter"
573627,"Kennys Vargas"
461858,"Trevor Plouffe"
502110,"J.D. Martinez"
493316,"Yoenis Cespedes"
592206,"Nick Castellanos"
488671,"Alex Avila"
578428,"Jose Iglesias"
542455,"Oswaldo Arcia"
435559,"Kurt Suzuki"
457788,"Jordan Schafer"
500871,"Eduardo Escobar"
456422,"Michael Bourn"
543401,"Jason Kipnis"
488726,"Michael Brantley"
514888,"Jose Altuve"
543807,"George Springer"
472528,"Luis Valbuena"
467793,"Carlos Santana"
543228,"Yan Gomes"
461235,"Brandon Moss"
594828,"Evan Gattis"
474892,"Chris Carter"
488771,"Jason Castro"
430605,"Ryan Raburn"
502082,"Lonnie Chisenhall"
608070,"Jose Ramirez"
476704,"Jed Lowrie"
458675,"Colby Rasmus"
545350,"Jake Marisnick"
594809,"Adam Eaton"
466320,"Melky Cabrera"
547989,"Jose Abreu"
444876,"Alcides Escobar"
519058,"Mike Moustakas"
456715,"Lorenzo Cain"
425560,"Adam LaRoche"
541645,"Avisail Garcia"
493351,"Alexei Ramirez"
543216,"Conor Gillaspie"
452095,"Tyler Flowers"
543333,"Eric Hosmer"
434778,"Kendrys Morales"
460086,"Alex Gordon"
425567,"Alex Rios"
521692,"Salvador Perez"
408299,"Omar Infante"
608672,"Micah Johnson"
543776,"J.B. Shuck"
571976,"Wil Myers"
519083,"Derek Norris"
461314,"Matt Kemp"
457708,"Justin Upton"
519025,"Will Middlebrooks"
276519,"Jimmy Rollins"
624577,"Yasiel Puig"
408236,"Adrian Gonzalez"
435062,"Howie Kendrick"
576397,"Jedd Gyorko"
475174,"Yonder Alonso"
425549,"Clint Barmes"
408307,"Carl Crawford"
346874,"Juan Uribe"
592626,"Joc Pederson"
448306,"James Shields"
454560,"A.J. Ellis"
477132,"Clayton Kershaw"
457759,"Justin Turner"
605486,"Cory Spangenberg"
