"pitcher","pitcher_name"
453214,"Steven Wright"
592717,"Aaron Sanchez"
518927,"Tommy Layne"
598287,"Noe Ramirez"
543726,"Robbie Ross"
519322,"Drew Storen"
598264,"Matt Barnes"
532077,"Roberto Osuna"
452657,"Jon Lester"
543022,"Tyler Chatwood"
476589,"Adam Warren"
612434,"Miguel Castro"
518748,"Justin Grimm"
459429,"Jacob McGee"
446372,"Corey Kluber"
571927,"Steven Matz"
446321,"Ross Detwiler"
501955,"Joba Chamberlain"
570663,"Hansel Robles"
519096,"Daniel Otero"
460283,"Jerry Blevins"
592665,"Addison Reed"
571666,"Michael Fiers"
434671,"Anibal Sanchez"
448609,"Tony Sipp"
543935,"Alex Wilson"
450212,"Pat Neshek"
594986,"Kyle Ryan"
571704,"Kenneth Giles"
572403,"Drew VerHagen"
502381,"Luke Gregerson"
628317,"Kenta Maeda"
502188,"Jeff Samardzija"
592612,"Josh Osich"
501822,"Chris Hatcher"
502004,"George Kontos"
445276,"Kenley Jansen"
543054,"Jarred Cosart"
468504,"Jhoulys Chacin"
457768,"Bryan Morris"
543017,"Colby Cervenka"
468396,"Alexi Ogando"
607457,"Kyle Barraclough"
447714,"Eric O'Flaherty"
462382,"Jim Johnson"
475479,"David Phelps"
573109,"Alejandro Ramos"
276351,"Jason Grilli"
429719,"Edwin Jackson"
605538,"Matt Wisler"
502043,"Kyle Gibson"
607374,"Nick Tropeano"
657670,"Greg Mahle"
573046,"Mike Morin"
501625,"Jose Alvarez"
502272,"Casey Fien"
594951,"Ryan O'Rourke"
501925,"Joe Smith"
448178,"Kevin Jepsen"
543507,"Trevor May"
477569,"Fernando Salas"
543859,"Michael Tonkin"
474284,"Cory Rasmus"
434718,"Huston Street"
547888,"Masahiro Tanaka"
547874,"Hisashi Iwakuma"
476454,"Dellin Betances"
543883,"Nick Vincent"
453192,"Andrew Miller"
605135,"Chris Bassitt"
450665,"Kris Medlen"
516969,"Kelvin Herrera"
446099,"John Axford"
465657,"Joakim Soria"
425492,"Ryan Madson"
450203,"Charlie Morton"
461829,"Gio Gonzalez"
593576,"Hector Neris"
456696,"David Hernandez"
542587,"Elvis Araujo"
553878,"Felipe Rivero"
491646,"Jeanmar Gomez"
595014,"Blake Treinen"
449097,"Jonathan Papelbon"
504379,"Juan Nicasio"
605200,"Zach Davies"
572788,"Tyler Cravy"
425626,"Chris Capuano"
430641,"Blaine Boyer"
491708,"Arquimedes Caminero"
448614,"Carlos Torres"
491703,"Neftali Feliz"
518693,"Samuel Freeman"
543746,"Rob Scahill"
572362,"Robbie Erlin"
571578,"Patrick Corbin"
534812,"Kevin Quackenbush"
605177,"Andrew Chafin"
605359,"Evan Marshall"
606131,"Luis Perdomo"
608379,"Michael Wacha"
621209,"Jon Moscot"
502028,"Blake Wood"
621199,"Matthew Bowman"
543779,"Kevin Siegrist"
571561,"Tony Cingrani"
456027,"Ross Ohlendorf"
572096,"Trevor Rosenthal"
519043,"Matt Moore"
500779,"Jose Quintana"
544836,"Enny Romero"
435043,"Zach Duke"
517008,"Alexander Colome"
458006,"Matt Albers"
453329,"Clay Buchholz"
457918,"J.A. Happ"
547749,"Junichi Tazawa"
493157,"Koji Uehara"
518886,"Craig Kimbrel"
446399,"Brett Cecil"
607074,"Carlos Rodon"
502593,"Jake Petricka"
502327,"Hector Santiago"
474029,"Steven Putnam"
543359,"Daniel Jennings"
573185,"Dan Straily"
543475,"Jordan Lyles"
571584,"Caleb Cotham"
471822,"Jose Diaz"
430589,"Chad Qualls"
457429,"Boone Logan"
543331,"J.J. Hoover"
605228,"Jose Fernandez"
543699,"Tanner Roark"
424144,"Oliver Perez"
279571,"Matt Belisle"
433589,"Yusmeiro Petit"
461833,"Phil Hughes"
502624,"Chase Anderson"
595191,"Jerad Eickhoff"
592789,"Noah Syndergaard"
455374,"Antonio Bastardo"
544727,"Jeurys Familia"
408241,"Jake Peavy"
605151,"Archie Bradley"
517414,"Randall Delgado"
518715,"Cory Gearrin"
621281,"Tyler Wagner"
519326,"Hunter Strickland"
543339,"Daniel Hudson"
433586,"Santiago Casilla"
571882,"Derek Law"
523989,"Rubby De La Rosa"
518790,"Christopher Heston"
425657,"Javier Lopez"
446899,"Brad Ziegler"
502190,"Mike Leake"
407793,"John Lackey"
544928,"Tyler Lyons"
475243,"Travis Wood"
467008,"Pedro Strop"
502239,"Trevor Cahill"
554234,"Williams Perez"
622072,"Alex Wood"
543901,"James Weber"
571893,"Adam Liberatore"
554340,"Yimi Garcia"
488786,"Louis Coleman"
434442,"J.P. Howell"
519437,"Chris Withrow"
430599,"Joe Blanton"
605541,"Mike Wright"
573186,"Marcus Stroman"
592869,"Tyler Wilson"
571710,"Mychal Givens"
523260,"Joe Kelly"
592390,"Heath Hembree"
592767,"Drew Smyly"
541640,"Erasmo Ramirez"
502009,"Mat Latos"
533167,"Matt Shoemaker"
518858,"Nathan Jones"
596112,"Robert Stephenson"
407822,"Jorge De La Rosa"
543734,"Christopher Rusin"
502522,"Justin Miller"
571735,"David Hale"
543261,"Jason Gurka"
471911,"Carlos Carrasco"
489119,"Wade Miley"
543557,"Mike Montgomery"
502083,"Zach McAllister"
543964,"Anthony Zych"
543766,"Bryan Shaw"
592102,"Cody Allen"
570649,"Yordano Ventura"
572888,"Shane Greene"
543278,"Blaine Hardy"
460024,"Luke Hochevar"
518633,"Danny Duffy"
451584,"Wade Davis"
543045,"Adam Conley"
544931,"Stephen Strasburg"
621295,"Nick Wittgren"
429780,"Chris Narveson"
518875,"Shawn Kelley"
429722,"Ervin Santana"
503449,"Wily Peralta"
472551,"Fernando Abad"
518468,"Michael Blazek"
592804,"Tyler Thornburg"
502026,"Jeremy Jeffress"
501381,"Michael Pineda"
474668,"Eric Surkamp"
519240,"Marc Rzepczynski"
592741,"Chasen Shreve"
448281,"Sean Doolittle"
