"pitcher","pitcher_name"
452657,"Jon Lester"
425794,"Adam Wainwright"
457435,"Phil Coke"
435400,"Jason Motte"
519166,"Neil Ramirez"
593372,"Carlos Martinez"
467008,"Pedro Strop"
477229,"Jordan Walden"
444468,"Hector Rondon"
572096,"Trevor Rosenthal"
518567,"Josh Collmenter"
518516,"Madison Bumgarner"
605177,"Andrew Chafin"
543339,"Daniel Hudson"
425657,"Javier Lopez"
466948,"Jean Machi"
489265,"Sergio Romo"
346793,"Jeremy Affeldt"
424144,"Oliver Perez"
446899,"Brad Ziegler"
433586,"Santiago Casilla"
456501,"Johnny Cueto"
434538,"Francisco Liriano"
276514,"Kevin Gregg"
448159,"Manny Parra"
471822,"Jose Diaz"
453265,"Tony Watson"
547973,"Aroldis Chapman"
456034,"David Price"
461833,"Phil Hughes"
543242,"J.R. Graham"
150274,"Joe Nathan"
572971,"Dallas Keuchel"
446372,"Corey Kluber"
448609,"Tony Sipp"
425786,"Scott Atchison"
502381,"Luke Gregerson"
570649,"Yordano Ventura"
502188,"Jeff Samardzija"
516969,"Kelvin Herrera"
543359,"Daniel Jennings"
475138,"Kyle Drabek"
451584,"Wade Davis"
425492,"Ryan Madson"
477132,"Clayton Kershaw"
448306,"James Shields"
554340,"Yimi Garcia"
543883,"Nick Vincent"
571057,"Frank Garces"
518875,"Shawn Kelley"
407908,"Joel Peralta"
501822,"Chris Hatcher"
506693,"Henderson Alvarez"
527054,"Julio Teheran"
501593,"Luis Avilan"
462382,"Jim Johnson"
445197,"Michael Dunn"
573109,"Alejandro Ramos"
276351,"Jason Grilli"
346798,"Kyle Lohse"
452718,"Kyle Kendrick"
518468,"Michael Blazek"
425840,"Neal Cotts"
519293,"William Smith"
429783,"Rafael Betancourt"
502026,"Jeremy Jeffress"
543184,"Christian Friedrich"
547888,"Masahiro Tanaka"
571800,"Drew Hutchison"
455119,"Chris Martin"
592741,"Chasen Shreve"
502304,"David Carpenter"
571901,"Aaron Loup"
612434,"Miguel Castro"
458677,"Justin Wilson"
469134,"Esmil Rogers"
543243,"Sonny Gray"
451596,"Yovani Gallardo"
542914,"Anthony Bass"
607309,"Phil Klein"
542669,"Roman Mendez"
519267,"Evan Scribner"
430935,"Cole Hamels"
453329,"Clay Buchholz"
472610,"Luis Garcia"
491646,"Jeanmar Gomez"
518603,"Justin De Fratus"
547749,"Junichi Tazawa"
518617,"Jake Diekman"
462945,"Cesar Jimenez"
518927,"Tommy Layne"
433587,"Felix Hernandez"
450308,"Jered Weaver"
459987,"Cesar Ramos"
543144,"Daniel Farquhar"
518703,"Charlie Furbush"
605476,"Carson Smith"
477569,"Fernando Salas"
407845,"Fernando Rodney"
502042,"Chris Archer"
501957,"Chris Tillman"
544993,"Steven Geltz"
503285,"Darren O'Day"
457117,"Ernesto Frieri"
542924,"Jeff Beliveau"
346797,"Grant Balfour"
542960,"Brad Brach"
488984,"Tommy Hunter"
489446,"Kirby Yates"
502154,"Zachary Britton"
453286,"Max Scherzer"
112526,"Bartolo Colon"
448614,"Carlos Torres"
458584,"Xavier Cedeno"
544727,"Jeurys Familia"
502578,"Aaron Barrett"
407819,"Matt Thornton"
460283,"Jerry Blevins"
234194,"Buddy Carlyle"
523989,"Rubby De La Rosa"
285064,"Ryan Vogelsong"
433589,"Yusmeiro Petit"
517414,"Randall Delgado"
502004,"George Kontos"
605359,"Evan Marshall"
592665,"Addison Reed"
425844,"Zack Greinke"
475115,"Tyson Ross"
520980,"Pedro Baez"
572089,"Paco Rodriguez"
445612,"Dale Thayer"
434442,"J.P. Howell"
276542,"Joaquin Benoit"
504379,"Juan Nicasio"
518886,"Craig Kimbrel"
502009,"Mat Latos"
543272,"Brad Hand"
622072,"Alex Wood"
473879,"Samuel Dyson"
594792,"Brandon Cunniff"
592533,"Cody Martin"
457768,"Bryan Morris"
518553,"Steve Cishek"
475479,"David Phelps"
462089,"Juan Jaime"
490063,"Matt Garza"
543475,"Jordan Lyles"
592804,"Tyler Thornburg"
457429,"Boone Logan"
455009,"Jonathan Broxton"
493603,"Adam Ottavino"
408061,"Francisco Rodriguez"
115629,"LaTroy Hawkins"
534910,"Jesse Hahn"
407890,"Colby Lewis"
447714,"Eric O'Flaherty"
605309,"Keone Kela"
445926,"Jesse Chavez"
474521,"Shawn Tolleson"
472551,"Fernando Abad"
491703,"Neftali Feliz"
572020,"James Paxton"
450351,"C.J. Wilson"
452666,"Tom Wilhelmsen"
500721,"Yoervis Medina"
621397,"Tyler Olson"
434718,"Huston Street"
501992,"Nate Karns"
612672,"Wei-Yin Chen"
592332,"Kevin Gausman"
448178,"Kevin Jepsen"
502202,"Bradley Boxberger"
476451,"Jeremy Hellickson"
518790,"Christopher Heston"
453562,"Jake Arrieta"
458681,"Lance Lynn"
543779,"Kevin Siegrist"
279571,"Matt Belisle"
502190,"Mike Leake"
543037,"Gerrit Cole"
571561,"Tony Cingrani"
453172,"Jared Hughes"
488674,"Burke Badenhop"
455374,"Antonio Bastardo"
491708,"Arquimedes Caminero"
543746,"Rob Scahill"
543331,"J.J. Hoover"
453343,"Mark Melancon"
